POS,,,,,,,,,,,,,,,,,,,,,,,,
SalesKey,ProductName,Manufacturer,BrandName,ClassName,UnitCost,UnitPrice,SalesQuantity,DiscountQuantity,DiscountAmount,TotalCost,SalesAmount,FullDateLabel,DateDescription,CalendarYear,CalendarQuarter,CalendarQuarterLabel,CalendarMonth,CalendarMonthLabel,CalendarWeek,CalendarWeekLabel,CalendarDayOfWeekLabel,IsWorkDay,EuropeSeason,NorthAmericaSeason
1644086,Adventure Works 20" Analog CRT TV E45 Silver,Adventure Works,Adventure Works,Economy,101.97,200,18,1,10,1835.46,3590,1/4/2009,1/4/2009,2009,20091,Q1,200901,January,200902,Week 2,Sunday,WeekEnd,Holiday,Spring/Back to Business
350369,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,Northwind Traders,Economy,22.05,47.95,18,1,2.3975,396.9,860.7025,1/5/2009,1/5/2009,2009,20091,Q1,200901,January,200902,Week 2,Monday,WorkDay,Holiday,Spring/Back to Business
1192415,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso,Economy,30.58,59.99,18,4,11.998,550.44,1067.822,1/5/2009,1/5/2009,2009,20091,Q1,200901,January,200902,Week 2,Monday,WorkDay,Holiday,Spring/Back to Business
1671049,Contoso Projector 720p M620 White,"Contoso, Ltd",Contoso,Regular,321.44,699,9,2,69.9,2892.96,6221.1,1/5/2009,1/5/2009,2009,20091,Q1,200901,January,200902,Week 2,Monday,WorkDay,Holiday,Spring/Back to Business
1828723,Fabrikam Home and vacation moviemaker 2/3'' 17mm M103 Black,"Fabrikam, Inc.",Fabrikam  ,Regular,301.21,655,9,4,131,2710.89,5764,1/5/2009,1/5/2009,2009,20091,Q1,200901,January,200902,Week 2,Monday,WorkDay,Holiday,Spring/Back to Business
3098553,The Phone Company PDA Phone Unlocked 3.7 inches M510 White,The Phone Company,The Phone Company,Regular,109.45,238,9,1,11.9,985.05,2130.1,1/5/2009,1/5/2009,2009,20091,Q1,200901,January,200902,Week 2,Monday,WorkDay,Holiday,Spring/Back to Business
1491085,Litware Refrigerator 4.6CuFt E280 Green,"Litware, Inc.",Litware,Regular,152.94,299.99,9,3,44.9985,1376.46,2654.9115,1/5/2009,1/5/2009,2009,20091,Q1,200901,January,200902,Week 2,Monday,WorkDay,Holiday,Spring/Back to Business
528506,Fabrikam SLR Camera X146 Black,"Fabrikam, Inc.",Fabrikam,Regular,208.4,629,9,0,0,1875.6,5661,1/6/2009,1/6/2009,2009,20091,Q1,200901,January,200902,Week 2,Tuesday,WorkDay,Holiday,Spring/Back to Business
3303594,Fabrikam SLR Camera M148 Silver Grey,"Fabrikam, Inc.",Fabrikam,Regular,152.68,332,9,4,66.4,1374.12,2921.6,1/6/2009,1/6/2009,2009,20091,Q1,200901,January,200902,Week 2,Tuesday,WorkDay,Holiday,Spring/Back to Business
586379,A. Datum SLR Camera M141 Blue,A. Datum Corporation,A. Datum,Economy,143.48,312,36,3,46.8,5165.28,11185.2,1/6/2009,1/6/2009,2009,20091,Q1,200901,January,200902,Week 2,Tuesday,WorkDay,Holiday,Spring/Back to Business
1214917,Contoso Mini Battery Charger Kit E320 Silver,"Contoso, Ltd",Contoso,Economy,12.74,24.99,18,0,0,229.32,449.82,1/6/2009,1/6/2009,2009,20091,Q1,200901,January,200902,Week 2,Tuesday,WorkDay,Holiday,Spring/Back to Business
2749018,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso,Economy,7.4,14.52,18,0,0,133.2,261.36,1/6/2009,1/6/2009,2009,20091,Q1,200901,January,200902,Week 2,Tuesday,WorkDay,Holiday,Spring/Back to Business
1185224,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Northwind Traders,Economy,13.1,25.69,18,4,5.138,235.8,457.282,1/6/2009,1/6/2009,2009,20091,Q1,200901,January,200902,Week 2,Tuesday,WorkDay,Holiday,Spring/Back to Business
1590596,Adventure Works Laptop15.4W M1548 Black,Adventure Works,Adventure Works,Regular,348.58,758,9,0,0,3137.22,6822,1/6/2009,1/6/2009,2009,20091,Q1,200901,January,200902,Week 2,Tuesday,WorkDay,Holiday,Spring/Back to Business
2212432,Adventure Works Laptop12 M1201 Red,Adventure Works,Adventure Works,Regular,195.24,382.95,9,3,57.4425,1757.16,3389.1075,1/7/2009,1/7/2009,2009,20091,Q1,200901,January,200902,Week 2,Wednesday,WorkDay,Holiday,Spring/Back to Business
293071,Adventure Works Laptop12 M1201 Blue,Adventure Works,Adventure Works,Regular,195.24,382.95,9,1,19.1475,1757.16,3427.4025,1/7/2009,1/7/2009,2009,20091,Q1,200901,January,200902,Week 2,Wednesday,WorkDay,Holiday,Spring/Back to Business
675886,SV Car Video AM/FM E1001 Black,Southridge Video,Southridge Video,Economy,111.65,219,18,3,32.85,2009.7,3909.15,1/7/2009,1/7/2009,2009,20091,Q1,200901,January,200902,Week 2,Wednesday,WorkDay,Holiday,Spring/Back to Business
3259375,SV 8xDVD E130 Black,Southridge Video,Southridge Video,Economy,29.01,56.9,18,0,0,522.18,1024.2,1/7/2009,1/7/2009,2009,20091,Q1,200901,January,200902,Week 2,Wednesday,WorkDay,Holiday,Spring/Back to Business
2913425,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub E80 Grey,"Contoso, Ltd",Contoso,Economy,15.24,29.9,18,4,5.98,274.32,532.22,1/7/2009,1/7/2009,2009,20091,Q1,200901,January,200902,Week 2,Wednesday,WorkDay,Holiday,Spring/Back to Business
1632241,Fabrikam Business Videographer 1'' 25mm M600 Grey,"Fabrikam, Inc.",Fabrikam  ,Regular,409.28,890,9,4,178,3683.52,7832,1/7/2009,1/7/2009,2009,20091,Q1,200901,January,200902,Week 2,Wednesday,WorkDay,Holiday,Spring/Back to Business
646141,Fabrikam Trendsetter 1/3'' 8.5mm X200 Black,"Fabrikam, Inc.",Fabrikam,Regular,330.99,999,9,0,0,2978.91,8991,1/8/2009,1/8/2009,2009,20091,Q1,200901,January,200902,Week 2,Thursday,WorkDay,Holiday,Spring/Back to Business
729790,Litware Washer & Dryer 24in M260 Silver,"Litware, Inc.",Litware,Regular,836.03,1818,2,0,0,1672.06,3636,1/8/2009,1/8/2009,2009,20091,Q1,200901,January,200902,Week 2,Thursday,WorkDay,Holiday,Spring/Back to Business
928124,SV DVD 12-Inch Player Portable M400 Silver,Southridge Video,Southridge Video,Regular,82.77,179.99,9,3,26.9985,744.93,1592.9115,1/8/2009,1/8/2009,2009,20091,Q1,200901,January,200902,Week 2,Thursday,WorkDay,Holiday,Spring/Back to Business
2081108,SV Keyboard E10 Black,Southridge Video,Southridge Video,Economy,22.43,44,18,3,6.6,403.74,785.4,1/8/2009,1/8/2009,2009,20091,Q1,200901,January,200902,Week 2,Thursday,WorkDay,Holiday,Spring/Back to Business
1005030,Proseware Laser Jet Color Printer X300 White,"Proseware, Inc.",Proseware,Regular,69.25,209,9,1,10.45,623.25,1870.55,1/8/2009,1/8/2009,2009,20091,Q1,200901,January,200902,Week 2,Thursday,WorkDay,Holiday,Spring/Back to Business
2473187,Adventure Works Coffee Maker 12C M100 White,Adventure Works,Adventure Works,Regular,204.64,445,9,3,66.75,1637.12,3938.25,1/9/2009,1/9/2009,2009,20091,Q1,200901,January,200902,Week 2,Friday,WorkDay,Holiday,Spring/Back to Business
1333014,Fabrikam Coffee Maker 12C M100 Silver,"Fabrikam, Inc.",Fabrikam,Regular,204.64,445,9,3,66.75,1841.76,3938.25,1/9/2009,1/9/2009,2009,20091,Q1,200901,January,200902,Week 2,Friday,WorkDay,Holiday,Spring/Back to Business
171244,Contoso Coffee Maker 5C E0900 Silver,"Contoso, Ltd",Contoso,Economy,75.96,149,18,0,0,1367.28,2682,1/9/2009,1/9/2009,2009,20091,Q1,200901,January,200902,Week 2,Friday,WorkDay,Holiday,Spring/Back to Business
2826320,Contoso Genuine Leather Grip Belt E322 White,"Contoso, Ltd",Contoso,Economy,39.76,77.99,18,2,7.799,715.68,1396.021,1/9/2009,1/9/2009,2009,20091,Q1,200901,January,200902,Week 2,Friday,WorkDay,Holiday,Spring/Back to Business
2097409,The Phone Company Touch Screen Phones 4-Wire/On-wall M302 Black,The Phone Company,The Phone Company,Regular,132.9,289,9,3,43.35,1196.1,2557.65,1/10/2009,1/10/2009,2009,20091,Q1,200901,January,200902,Week 2,Saturday,WeekEnd,Holiday,Spring/Back to Business
976692,A. Datum Bridge Digital Camera M300 Pink,A. Datum Corporation,A. Datum,Regular,85.95,186.9,9,4,37.38,773.55,1644.72,1/10/2009,1/10/2009,2009,20091,Q1,200901,January,200902,Week 2,Saturday,WeekEnd,Holiday,Spring/Back to Business
2337419,SV DVD 58 DVD Storage Binder M55 Red,Southridge Video,Southridge Video,Regular,6.39,13.89,9,3,2.0835,57.51,122.9265,1/10/2009,1/10/2009,2009,20091,Q1,200901,January,200902,Week 2,Saturday,WeekEnd,Holiday,Spring/Back to Business
1611297,Litware Home Theater System 5.1 Channel M511 Silver,"Litware, Inc.",Litware ,Regular,321.44,699,9,0,0,2892.96,6291,1/10/2009,1/10/2009,2009,20091,Q1,200901,January,200902,Week 2,Saturday,WeekEnd,Holiday,Spring/Back to Business
917908,Contoso Air conditioner 12000BTU M0640 White,"Contoso, Ltd",Contoso ,Regular,211.53,459.99,9,2,45.999,1903.77,4093.911,1/10/2009,1/10/2009,2009,20091,Q1,200901,January,200902,Week 2,Saturday,WeekEnd,Holiday,Spring/Back to Business
2795970,Contoso 32GB Video MP3 Player M3200 Red,"Contoso, Ltd",Contoso,Regular,84.49,255,9,0,0,760.41,2295,1/11/2009,1/11/2009,2009,20091,Q1,200901,January,200903,Week 3,Sunday,WeekEnd,Holiday,Spring/Back to Business
2566991,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Wide World Importers,Economy,79.53,156,18,1,7.8,1431.54,2800.2,1/11/2009,1/11/2009,2009,20091,Q1,200901,January,200903,Week 3,Sunday,WeekEnd,Holiday,Spring/Back to Business
275688,Adventure Works Laptop8.9 E0890 White,Adventure Works,Adventure Works,Economy,166.2,326,18,0,0,2991.6,5868,1/11/2009,1/11/2009,2009,20091,Q1,200901,January,200903,Week 3,Sunday,WeekEnd,Holiday,Spring/Back to Business
428925,SV USB Sync Charge Cable E700 White,Southridge Video,Southridge Video,Economy,1.01,1.99,18,0,0,18.18,35.82,1/11/2009,1/11/2009,2009,20091,Q1,200901,January,200903,Week 3,Sunday,WeekEnd,Holiday,Spring/Back to Business
318296,Adventure Works Desk Lamp E1300 Silver,Adventure Works,Adventure Works,Economy,40.76,79.95,18,1,3.9975,733.68,1435.1025,1/11/2009,1/11/2009,2009,20091,Q1,200901,January,200903,Week 3,Sunday,WeekEnd,Holiday,Spring/Back to Business
1057176,The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Black,The Phone Company,The Phone Company,Regular,123.24,268,9,0,0,1109.16,2412,1/11/2009,1/11/2009,2009,20091,Q1,200901,January,200903,Week 3,Sunday,WeekEnd,Holiday,Spring/Back to Business
1087633,Contoso Touch Screen Phones SAW/On-wall M806 Black,"Contoso, Ltd",Contoso,Regular,134.74,293,9,2,29.3,1212.66,2607.7,1/12/2009,1/12/2009,2009,20091,Q1,200901,January,200903,Week 3,Monday,WorkDay,Holiday,Spring/Back to Business
1900962,Contoso Private Automatic Branch Exchange M65 White,"Contoso, Ltd",Contoso,Regular,17.93,38.99,9,0,0,161.37,350.91,1/12/2009,1/12/2009,2009,20091,Q1,200901,January,200903,Week 3,Monday,WorkDay,Holiday,Spring/Back to Business
2678827,Contoso Coffee Maker 12C M1000 Grey,"Contoso, Ltd",Contoso,Regular,204.64,445,9,2,44.5,1841.76,3960.5,1/12/2009,1/12/2009,2009,20091,Q1,200901,January,200903,Week 3,Monday,WorkDay,Holiday,Spring/Back to Business
1937522,WWI Desktop PC1.80 E1801 Silver,Wide World Importers,Wide World Importers,Economy,137.6,269.9,18,4,53.98,2476.8,4804.22,1/12/2009,1/12/2009,2009,20091,Q1,200901,January,200903,Week 3,Monday,WorkDay,Holiday,Spring/Back to Business
655033,Litware Chandelier M6015 White,"Litware, Inc.",Litware,Regular,105.76,229.99,9,4,45.998,951.84,2023.912,1/12/2009,1/12/2009,2009,20091,Q1,200901,January,200903,Week 3,Monday,WorkDay,Holiday,Spring/Back to Business
1889558,Litware Desktop Wind Tower Oscillating Fan E1201 Black,"Litware, Inc.",Litware,Economy,15.29,29.99,18,4,5.998,275.22,533.822,1/12/2009,1/12/2009,2009,20091,Q1,200901,January,200903,Week 3,Monday,WorkDay,Holiday,Spring/Back to Business
3164942,Proseware Desk Lamp E0120 White,"Proseware, Inc.",Proseware,Economy,15.29,29.99,18,3,4.4985,275.22,535.3215,1/13/2009,1/13/2009,2009,20091,Q1,200901,January,200903,Week 3,Tuesday,WorkDay,Holiday,Spring/Back to Business
2771056,WWI Laptop8.9 E0089 White,Wide World Importers,Wide World Importers,Economy,166.2,326,18,2,32.6,2991.6,5835.4,1/13/2009,1/13/2009,2009,20091,Q1,200901,January,200903,Week 3,Tuesday,WorkDay,Holiday,Spring/Back to Business
2086815,Contoso Smart Battery M901 Black,"Contoso, Ltd",Contoso,Regular,5.29,11.5,9,0,0,47.61,103.5,1/13/2009,1/13/2009,2009,20091,Q1,200901,January,200903,Week 3,Tuesday,WorkDay,Holiday,Spring/Back to Business
531762,Adventure Works Laptop15 M1501 White,Adventure Works,Adventure Works,Regular,321.44,699,9,4,139.8,2892.96,6151.2,1/13/2009,1/13/2009,2009,20091,Q1,200901,January,200903,Week 3,Tuesday,WorkDay,Holiday,Spring/Back to Business
1771671,Litware Washer & Dryer 21in E214 White,"Litware, Inc.",Litware,Regular,815.22,1599,2,4,319.8,1630.44,2878.2,1/13/2009,1/13/2009,2009,20091,Q1,200901,January,200903,Week 3,Tuesday,WorkDay,Holiday,Spring/Back to Business
958991,Fabrikam SLR Camera X146 Black,"Fabrikam, Inc.",Fabrikam,Regular,208.4,629,9,3,94.35,1875.6,5566.65,1/13/2009,1/13/2009,2009,20091,Q1,200901,January,200903,Week 3,Tuesday,WorkDay,Holiday,Spring/Back to Business
2022664,Contoso Digital Cameras Lightweight Tripod E316 Pink,"Contoso, Ltd",Contoso,Economy,26.58,52.13,18,3,7.8195,478.44,930.5205,1/14/2009,1/14/2009,2009,20091,Q1,200901,January,200903,Week 3,Wednesday,WorkDay,Holiday,Spring/Back to Business
3011302,Adventure Works Wall Lamp E3150 Blue,Adventure Works,Adventure Works,Economy,52,101.99,18,2,10.199,936,1825.621,1/14/2009,1/14/2009,2009,20091,Q1,200901,January,200903,Week 3,Wednesday,WorkDay,Holiday,Spring/Back to Business
3134120,Adventure Works Laptop12 M1201 Blue,Adventure Works,Adventure Works,Regular,195.24,382.95,9,0,0,1757.16,3446.55,1/14/2009,1/14/2009,2009,20091,Q1,200901,January,200903,Week 3,Wednesday,WorkDay,Holiday,Spring/Back to Business
3390274,Fabrikam Laptop14.1W M4180 Red,"Fabrikam, Inc.",Fabrikam,Regular,210.11,456.9,9,0,0,1890.99,4112.1,1/14/2009,1/14/2009,2009,20091,Q1,200901,January,200903,Week 3,Wednesday,WorkDay,Holiday,Spring/Back to Business
3024368,Proseware Laser Fax Printer M250 White,"Proseware, Inc.",Proseware,Regular,54.26,118,9,4,23.6,488.34,1038.4,1/14/2009,1/14/2009,2009,20091,Q1,200901,January,200903,Week 3,Wednesday,WorkDay,Holiday,Spring/Back to Business
1402285,WWI CRT17 E106 White,Wide World Importers,Wide World Importers,Economy,50.47,99,18,3,14.85,908.46,1767.15,1/14/2009,1/14/2009,2009,20091,Q1,200901,January,200903,Week 3,Wednesday,WorkDay,Holiday,Spring/Back to Business
164268,Litware Chandelier M8015 Silver,"Litware, Inc.",Litware,Regular,123.47,268.5,9,0,0,1111.23,2416.5,1/14/2009,1/14/2009,2009,20091,Q1,200901,January,200903,Week 3,Wednesday,WorkDay,Holiday,Spring/Back to Business
2022543,Proseware Photo Smart All-in-One Printer M380 White,"Proseware, Inc.",Proseware,Regular,67.6,147,9,4,29.4,608.4,1293.6,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
2333255,Fabrikam Laptop12 M2000 White,"Fabrikam, Inc.",Fabrikam,Regular,186.6,366,9,0,0,1679.4,3294,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
519753,Fabrikam Laptop10.1 M0100 White,"Fabrikam, Inc.",Fabrikam,Regular,195.26,383,9,2,38.3,1757.34,3408.7,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
877695,Adventure Works 13" Color TV E25 Black,Adventure Works,Adventure Works,Economy,61.17,119.99,18,3,17.9985,1101.06,2141.8215,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
3055618,Contoso Home Theater System 2.1 Channel M1210 White,"Contoso, Ltd",Contoso,Regular,167.73,329,9,1,16.45,1509.57,2944.55,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
1167512,WWI Wall Lamp E215 Black,Wide World Importers,Wide World Importers,Economy,61.17,119.99,18,2,11.999,1101.06,2147.821,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
534602,Contoso Coffee Maker Auto 5C E0900 Silver,"Contoso, Ltd",Contoso,Economy,83.1,163,18,2,16.3,1495.8,2917.7,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
2343060,SV DVD External DVD Burner M200 Blue,Southridge Video,Southridge Video,Regular,26.62,57.88,9,4,11.576,239.58,509.344,1/15/2009,1/15/2009,2009,20091,Q1,200901,January,200903,Week 3,Thursday,WorkDay,Holiday,Spring/Back to Business
44643,Adventure Works Coffee Maker Auto 10C M100 Silver,Adventure Works,Adventure Works,Regular,343.05,745.99,9,4,149.198,3087.45,6564.712,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
1986177,Contoso Dual Handset Cordless Phone System E20 White,"Contoso, Ltd",Contoso,Economy,6.62,12.99,18,1,0.6495,119.16,233.1705,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
2501865,Contoso Lens Adapter M450 White,"Contoso, Ltd",Contoso,Regular,31.27,68,9,4,13.6,281.43,598.4,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
2712658,Fabrikam SLR Camera M146 Black,"Fabrikam, Inc.",Fabrikam,Economy,138.88,302,18,2,30.2,2499.84,5405.8,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
2913621,Fabrikam Trendsetter 2/3'' 17mm X100 Black,"Fabrikam, Inc.",Fabrikam  ,Regular,324.69,980,9,3,147,2922.21,8673,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
842768,Fabrikam Laptop19W M9800 Black,"Fabrikam, Inc.",Fabrikam,Regular,397.25,1199,9,0,0,3575.25,10791,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
2214014,Adventure Works Laptop8.9 E0890 Red,Adventure Works,Adventure Works,Economy,166.2,326,18,4,65.2,2991.6,5802.8,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
1352351,Proseware Photo Ink Jet Printer M100 White,"Proseware, Inc.",Proseware,Regular,73.12,159,9,0,0,658.08,1431,1/16/2009,1/16/2009,2009,20091,Q1,200901,January,200903,Week 3,Friday,WorkDay,Holiday,Spring/Back to Business
